  972:       6068   [0.0228, 778.67, 193.33]
  976:       5678   [0.0230, 778.94, 197.06]
  980:       5321   [0.0228, 778.05, 201.95]
  984:       4990   [0.0229, 784.19, 199.81]
  988:       4789   [0.0229, 786.73, 201.27]
  992:       4515   [0.0228, 789.19, 202.81]
  996:       4201   [0.0231, 792.13, 203.87]
  1000:       3866   [0.0227, 790.91, 209.09]
  1004:       3718   [0.0227, 793.75, 210.25]
  1008:       3445   [0.0228, 796.54, 211.46]
  1012:       3296   [0.0227, 798.33, 213.67]
  1016:       3120   [0.0229, 798.17, 217.83]
  1020:       2898   [0.0219, 807.60, 212.40]
  1024:       2737   [0.0228, 805.96, 218.04]
  1028:       2696   [0.0229, 813.29, 214.71]
  1032:       2405   [0.0228, 806.40, 225.60]
  1036:       2372   [0.0228, 814.99, 221.01]
  1040:       2103   [0.0223, 817.03, 222.97]
  1044:       2092   [0.0220, 823.25, 220.75]
  1048:       1945   [0.0226, 823.64, 224.36]
  1052:       1847   [0.0225, 824.87, 227.13]
  1056:       1768   [0.0222, 820.31, 235.69]
  1060:       1632   [0.0227, 832.92, 227.08]
  1064:       1597   [0.0223, 830.65, 233.35]
  1068:       1503   [0.0226, 831.40, 236.60]
  1072:       1403   [0.0229, 836.15, 235.85]
  1076:       1255   [0.0228, 837.59, 238.41]
  1080:       1240   [0.0229, 841.27, 238.73]
  1084:       1306   [0.0225, 834.47, 249.53]
  1088:       1075   [0.0232, 849.09, 238.91]
  1092:       1003   [0.0225, 854.98, 237.02]
  1096:       1028   [0.0231, 851.38, 244.62]
  1100:        917   [0.0225, 855.69, 244.31]
  1104:        930   [0.0232, 856.09, 247.91]
  1108:        888   [0.0231, 859.34, 248.66]
  1112:        806   [0.0222, 861.01, 250.99]
  1116:        747   [0.0224, 885.11, 230.89]
  1120:        678   [0.0226, 879.44, 240.56]
  1124:        625   [0.0228, 867.53, 256.47]
  1128:        653   [0.0233, 878.50, 249.50]
  1132:        613   [0.0228, 876.10, 255.90]
  1136:        544   [0.0233, 883.77, 252.23]
  1140:        533   [0.0230, 876.80, 263.20]
  1144:        555   [0.0222, 874.44, 269.56]
  1148:        477   [0.0229, 883.38, 264.62]
  1152:        463   [0.0223, 886.35, 265.65]
  1156:        444   [0.0221, 889.56, 266.44]
  1160:        426   [0.0234, 891.70, 268.30]
  1164:        380   [0.0226, 896.83, 267.17]
  1168:        344   [0.0217, 901.10, 266.90]
  1172:        371   [0.0226, 897.75, 274.25]
  1176:        334   [0.0231, 908.13, 267.87]
  1180:        332   [0.0229, 914.84, 265.16]
  1184:        286   [0.0224, 909.40, 274.60]
  1188:        299   [0.0223, 904.99, 283.01]
  1192:        282   [0.0234, 906.94, 285.06]
